
Augusta,USA East,Pig,1
Concord,USA East,Wood,1
Des Moines,USA Center,Honey,1
Dover,USA East,Corn,1
Edmundston,Canada East,Wheat,1
Fort Simpson,Canada West,Iron,1
Fort Stockton,USA South,Strawberry,1
Frankfort,USA South,Wood,1
Galesburg,USA Center,Hockey Stick,1
Harrisburg,USA East,Honey,1
Iskut,Canada West,Orange,1
Jefferson City,USA South,Orange,1
Kennewick,USA West,Cow,1
Little Rock,USA South,Salmon,1
Montpelier,USA East,Corn,1
Rapid City,USA Center,Honey,1
Richmond,USA East,Oil,1
The Pas,Canada Center,Firework,1
Toledo,USA East,Pizza,1
Whitehorse,Canada West,Apple,1
Yakutat,Alaska,Orange,1
Yellowknife,Canada West,Strawberry,1
Yorkton,Canada Center,Apple,1
Albany,USA East,Lemon,2
Billings,USA Center,Carrot,2
Bismarck,USA Center,Copper,2
Boise,USA West,Wheat,2
Charleston,USA East,Salmon,2
Cheyenne,USA Center,Carrot,2
Columbia,USA South,BBQ Ribs,2
El Paso,USA West,Copper,2
Fort McMurray,Canada West,Water,2
Fredericton,Canada East,Chicken,2
Hartford,USA East,Orange,2
Hazelton,Canada West,Corn,2
Helena,USA Center,Oil,2
Huslia,Alaska,BBQ Ribs,2
Jackson,USA South,Wheat,2
Kamloops,Canada West,Poutine,2
Lincoln,USA Center,Pizza,2
Madison,USA Center,Paper,2
Montgomery,USA South,Wood,2
Olympia,USA West,Apple,2
Pierre,USA Center,Iron,2
Providence,USA East,Oil,2
Saint Paul,USA Center,Hockey Stick,2
Santa Fe,USA West,Iron,2
Sherbrooke,Canada East,Lemon,2
Springfield,USA Center,Lemon,2
Tallahassee,USA South,Paper,2
Topeka,USA South,Apple,2
Trenton,USA East,Pig,2
Tucson,USA West,Micro Processor,2
White Mountain,Alaska,Pizza,2
Atlanta,USA South,Firework,3
Baltimore,USA East,Lemon,3
Baton Rouge,USA South,Steel,3
Charlottetown,Canada East,Steel,3
Denver,USA West,Chicken,3
Halifax,Canada East,Oil,3
Indianapolis,USA Center,Wheat,3
Kingston,Canada East,BBQ Ribs,3
London,Canada East,Pizza,3
Miami,USA South,Copper,3
Oklahoma City,USA South,Chicken,3
Pittsburgh,USA East,Cow,3
Raleigh,USA East,Paper,3
Regina,Canada Center,Pig,3
Sacramento,USA West,Orange,3
Saskatoon,Canada Center,Salmon,3
St. Louis,USA Center,Wood,3
Winnipeg,Canada Center,Pizza,3
Wood Buffalo,Canada West,Pig,3
Detroit,USA East,Corn,4
Aweil,Africa Center,Banana,1
Bambari,Africa Center,Uranium,3
Bamenda,Africa Center,Shapka,2
Bangui,Africa Center,Casino Chips,1
Berberati,Africa Center,Coffee Beans,2
Blantyre,Africa Center,Firework,3
Brazzaville,Africa Center,Soy Sauce,3
Bria,Africa Center,Sheep,1
Bujumbura,Africa Center,Lemon,3
Bumba,Africa Center,Coffee Beans,2
Bunia,Africa Center,Firework,3
Butembo,Africa Center,Sheep,1
Dar es Salaam,Africa Center,Tomato,3
Dodoma,Africa Center,Pineapple,3
Douala,Africa Center,Candle,3
Franceville,Africa Center,Egg,1
Gemena,Africa Center,Candle,2
Gulu,Africa Center,Corn,2
Impfondo,Africa Center,Cashew,1
Isiro,Africa Center,Tuna,2
Juba,Africa Center,Cauliflower,3
Kabinda,Africa Center,Pineapple,2
Kalemie,Africa Center,Iron,1
Kamina,Africa Center,Sunflower,2
Kampala,Africa Center,Chicken,3
Kananga,Africa Center,Orange,2
Kigali,Africa Center,Cow,3
Kikwit,Africa Center,Anchovy,2
Kindu,Africa Center,Tomato,2
Kinshasa,Africa Center,Micro Processor,3
Kisangani,Africa Center,Wheat,2
Kolwezi,Africa Center,Banana,2
Lamberene,Africa Center,Chlorine,1
Libreville,Africa Center,Trout,3
Likasi,Africa Center,Cauliflower,2
Lilongwe,Africa Center,Tuna,3
Lindi,Africa Center,Wheat,1
Lubumbashi,Africa Center,Corn,3
Makambako,Africa Center,Orange,1
Makokou,Africa Center,Hand Fan,1
Malabo,Africa Center,Honey,3
Malakal,Africa Center,Beet,2
Matadi,Africa Center,Cacao,2
Mekambo,Africa Center,Origami,1
Mpanda,Africa Center,Iron,1
Mwanza,Africa Center,Paper,1
Mwene-Ditu,Africa Center,Guitar,2
Mzuzu,Africa Center,Pumpkin,2
Ngaoundere,Africa Center,Chunk of Amber,2
Ouesso,Africa Center,Apple,1
Owando,Africa Center,Chinese Spring Water,1
Oyala,Africa Center,Valenki,2
Pointe-Noire,Africa Center,Poutine,1
Port-Gentil,Africa Center,Power Cable,2
Sibiti,Africa Center,Pearl,1
Tchibanga,Africa Center,Lotus Flower,1
Tshikapa,Africa Center,Pink Salt,2
Yaounde,Africa Center,Wood,3
Abeche,Africa East,Rosewood Timber,1
Abri,Africa East,Coffee Beans,1
Ad-Damazin,Africa East,Carrot,2
Addis Ababa,Africa East,Watermelon,3
Alexandria,Africa East,Russian Building Block,3
Al-Fashir,Africa East,Polo Mallet,2
Al-Jawf,Africa East,BBQ Ribs,1
Am Timan,Africa East,Guava,1
Arba Minch,Africa East,BBQ Ribs,1
Aswan,Africa East,Persimmon,2
Asyut,Africa East,Incense,2
Awbari,Africa East,Strawberry,1
Awjilah,Africa East,Copper,1
Bahur Dar,Africa East,Pig,2
Baidoa,Africa East,Cotton,2
Bandarbelya,Africa East,Bonbon,1
Bardai,Africa East,Sheep,1
Beledweyne,Africa East,Bamboo,1
Benghazi,Africa East,Grapes,2
Berbera,Africa East,Pineapple,2
Bol,Africa East,Wasabi,1
Bosaso,Africa East,Pasta,2
Cairo,Africa East,Aluminum,3
Dessie,Africa East,Strawberry,2
Djibouti,Africa East,Wheat,3
Dongola,Africa East,Camu Camu,1
El Obeid,Africa East,Cassava,2
El Qasr,Africa East,Bonbon,2
Faya-Largeau,Africa East,Silk,1
Galkayo,Africa East,Russian Perfume,2
Gambela,Africa East,Honey,2
Garissa,Africa East,Rosewood Timber,2
Ghat,Africa East,Honey,1
Giza,Africa East,Russian Perfume,3
Hargeisa,Africa East,Aluminum,3
Hobyo,Africa East,Cooking Oil,1
Jijiga,Africa East,Sausage,2
Kassala,Africa East,Copper,2
Kharga,Africa East,Cooking Oil,1
Khartoum,Africa East,Asparagus,3
Kismayo,Africa East,Incense,2
Kisumu,Africa East,Wasabi,2
Kitale,Africa East,Mini Lantern,2
Laascaanood,Africa East,Russian Building Block,1
Lodwar,Africa East,Acai,1
Luxor,Africa East,Bamboo,2
Malindi,Africa East,Orange,2
Marsa Matruh,Africa East,Firework,2
Marsabit,Africa East,Avocado,2
Mek'ele,Africa East,Tomato,2
Misrata,Africa East,Asparagus,2
Mogadishu,Africa East,Green Tea,3
Mombasa,Africa East,Persimmon,3
Moundou,Africa East,Acai,2
Murzuq,Africa East,Watermelon,1
Nairobi,Africa East,Silk,3
Nayla,Africa East,Chullo Hat,2
N'Djamena,Africa East,Mini Lantern,3
Nsharm El-Sheikh,Africa East,Green Tea,1
Port Said,Africa East,Cotton,2
Port Sudan,Africa East,Grapes,2
Sabha,Africa East,Pig,1
Sarh,Africa East,Avocado,2
Sasmara,Africa East,Candle,3
Shahat,Africa East,Hockey Stick,1
Shashamane,Africa East,Hockey Stick,2
Shendi,Africa East,Onion,1
Sirte,Africa East,Carrot,1
Swia Oasis,Africa East,Pasta,1
Tobruk,Africa East,Sausage,2
Tripoli,Africa East,Tuna,3
Waddan,Africa East,Onion,1
Wajir,Africa East,Guava,2
Ambanja,Africa South,Kendama,1
Ambovombe,Africa South,Sugarcane,2
Andapa,Africa South,Pear,1
Antananarivo,Africa South,Qipao,3
Antsiranana,Africa South,Instant Ramen,1
Beaufort West,Africa South,Diesel Fuel,1
Beira,Africa South,Turkey,1
